DATE,PRODUITS,VILLE,PRIX
2022-08-22,CITRON (kg),MAN,400
2022-08-22,CITRON (kg),SANPEDRO,400
2022-08-22,CITRON (kg),YAMOUSSOUKRO,500
2022-08-29,CITRON (kg),MAN,400
2022-08-29,CITRON (kg),YAMOUSSOUKRO,500
2022-08-29,CITRON (kg),KORHOGO,500
2022-08-29,CITRON (kg),SANPEDRO,400
2022-08-29,CITRON (kg),ABIDJAN,300
2022-08-29,CITRON (kg),BOUAKE,700
2022-09-05,CITRON (kg),MAN,500
2022-09-05,CITRON (kg),YAMOUSSOUKRO,500
2022-09-05,CITRON (kg),KORHOGO,500
2022-09-05,CITRON (kg),ABIDJAN,300
2022-09-05,CITRON (kg),SANPEDRO,400
2022-09-05,CITRON (kg),BOUAKE,700
2022-09-12,CITRON (kg),ABIDJAN,300
2022-09-12,CITRON (kg),SANPEDRO,400
2022-09-12,CITRON (kg),BOUAKE,700
2022-09-12,CITRON (kg),YAMOUSSOUKRO,1500
2022-09-12,CITRON (kg),MAN,2000
2022-09-12,CITRON (kg),KORHOGO,1500
2022-09-19,CITRON (kg),ABIDJAN,300
2022-09-19,CITRON (kg),SANPEDRO,400
2022-09-19,CITRON (kg),BOUAKE,700
2022-09-19,CITRON (kg),YAMOUSSOUKRO,500
2022-09-19,CITRON (kg),MAN,400
2022-09-19,CITRON (kg),KORHOGO,500
2022-09-26,CITRON (kg),ABIDJAN,300
2022-09-26,CITRON (kg),SANPEDRO,400
2022-09-26,CITRON (kg),BOUAKE,700
2022-09-26,CITRON (kg),YAMOUSSOUKRO,500
2022-09-26,CITRON (kg),MAN,400
2022-09-26,CITRON (kg),KORHOGO,500
2022-10-03,CITRON (kg),ABIDJAN,300
2022-10-03,CITRON (kg),SANPEDRO,400
2022-10-03,CITRON (kg),BOUAKE,700
2022-10-03,CITRON (kg),YAMOUSSOUKRO,500
2022-10-03,CITRON (kg),MAN,400
2022-10-03,CITRON (kg),KORHOGO,500
2022-10-10,CITRON (kg),BOUAKE,850
2022-10-17,CITRON (kg),BOUAKE,850
2022-10-24,CITRON (kg),BOUAKE,850
2022-10-31,CITRON (kg),BOUAKE,850
